No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-11 01:39:52,120.193,23.3508,3.7,9.1,23.35N 120.19E, i.e. 15.8 km SW of Chiayi County(23.35N 120.19E, i.e. 15.8 km SW of Chiayi County)
Small area,2024-05-10 21:02:39,121.525,23.711,3.4,5,23.71N 121.53E, i.e. 32.5 km SSW of Hualien County(23.71N 121.53E, i.e. 32.5 km SSW of Hualien County)
Small area,2024-05-10 16:40:22,121.601,23.9033,3.6,10.4,23.90N 121.60E, i.e. 9.9 km SSW of Hualien County(23.90N 121.60E, i.e. 9.9 km SSW of Hualien County)
383   ,2024-05-10 16:10:22,121.634,23.8938,4.2,5.8,23.89N 121.63E, i.e. 10.9 km S of Hualien County(23.89N 121.63E, i.e. 10.9 km S of Hualien County)
Small area,2024-05-10 15:50:42,121.832,24.2575,4.2,6.5,24.26N 121.83E, i.e. 36.5 km NE of Hualien County(24.26N 121.83E, i.e. 36.5 km NE of Hualien County)
Small area,2024-05-10 15:49:28,121.847,24.1995,4.5,3.7,24.20N 121.85E, i.e. 32.7 km NE of Hualien County(24.20N 121.85E, i.e. 32.7 km NE of Hualien County)
Small area,2024-05-10 15:46:06,121.846,24.2128,4.7,10.7,24.21N 121.85E, i.e. 33.6 km NE of Hualien County(24.21N 121.85E, i.e. 33.6 km NE of Hualien County)
382   ,2024-05-10 15:45:17,121.823,24.2208,5.8,10,24.22N 121.82E, i.e. 32.8 km NE of Hualien County(24.22N 121.82E, i.e. 32.8 km NE of Hualien County)
381   ,2024-05-10 09:40:20,121.603,23.8593,4.1,4.2,23.86N 121.60E, i.e. 14.7 km S of Hualien County(23.86N 121.60E, i.e. 14.7 km S of Hualien County)
380   ,2024-05-10 09:37:22,121.61,23.8542,5,10,23.85N 121.61E, i.e. 15.2 km S of Hualien County(23.85N 121.61E, i.e. 15.2 km S of Hualien County)
379   ,2024-05-10 09:35:38,121.616,23.7095,5.1,10,23.71N 121.62E, i.e. 31.2 km S of Hualien County(23.71N 121.62E, i.e. 31.2 km S of Hualien County)
